canonical_id,canonical_name,wiki_status,subst_dedup,n_appearances,appearances_collapsed,span_days_dedup,n_dates_dedup,first_date,last_date,npr_share,n_programs,total_guest_words,n_variants,merge_rules,merge_evidence,top_raw_label,n_affiliations,affiliations,summary_staff,note,transcripts
C00376,Bridget Johnson,long-tail,6,6,0,840,6,2015-10-17,2018-02-03,1.0,1,3023,1,,,BRIDGET JOHNSON,0,,no,"clean: no staff evidence, full name, no duplicate inflation",NPR-23844|2015-10-17|All Things Considered|cl5|S;NPR-23638|2015-11-14|All Things Considered|cl4|S;NPR-23445|2015-12-05|All Things Considered|cl3|S;NPR-19287|2017-02-25|All Things Considered|cl2|S;NPR-17618|2017-07-01|All Things Considered|cl1|S;NPR-49455|2018-02-03|All Things Considered|cl6|S
C00836,Glen Loury,long-tail,6,6,0,435,6,2005-09-19,2006-11-28,1.0,1,3482,1,,,"Professor GLEN LOURY (Social Sciences, Economics, Brown University)",4,SOCIAL SCIENCES ECONOMICS BROWN UNIVERSITY / PROFESSOR OF ECONOMICS BROWN UNIVERSITY / PROFESSOR SOCIAL SCIENCES AND ECONOMICS BROWN UNIVERSITY / BROWN UNIVERSITY,no,"clean: no staff evidence, full name, no duplicate inflation",NPR-46809|2005-09-19|News & Notes|cl6|S;NPR-45253|2006-03-15|News & Notes|cl5|S;NPR-45193|2006-03-22|News & Notes|cl4|S;NPR-3797|2006-09-22|News & Notes|cl3|S;NPR-3303|2006-11-07|News & Notes|cl2|S;NPR-3087|2006-11-28|News & Notes|cl1|S
C01842,Noam Levey,long-tail,5,6,0,2746,5,2012-01-01,2019-07-09,1.0,3,2637,1,,,NOAM LEVEY,0,,no,"clean: no staff evidence, full name, no duplicate inflation",NPR-48256|2012-01-01|Weekend Edition Sunday|cl3|S;NPR-11430|2017-06-24|Weekend Edition Saturday|cl1|S;NPR-7719|2017-07-26|Morning Edition|cl5|-;NPR-48657|2017-10-26|Morning Edition|cl4|S;NPR-46558|2018-03-01|Morning Edition|cl2|S;NPR-9944|2019-07-09|Morning Edition|cl6|S
C01848,Omer Taspinar,long-tail,5,7,0,2660,5,2011-09-06,2018-12-18,0.7143,4,2436,1,,,OMER TASPINAR,2,BROOKINGS INSTITUTION / BROOKINGS INSTITUTION SENIOR FELLOW,no,"clean: no staff evidence, full name, no duplicate inflation",CNN-116543|2007-05-02|YOUR WORLD TODAY|cl1|-;NPR-32473|2011-09-06|All Things Considered|cl7|S;NPR-19092|2016-07-22|Morning Edition|cl5|S;CNN-292301|2016-08-25|CNN NEWSROOM|cl2|-;NPR-19719|2017-01-02|All Things Considered|cl6|S;NPR-13438|2018-01-22|All Things Considered|cl3|S;NPR-1685|2018-12-18|All Things Considered|cl4|S
C02218,Shuja Nawaz,long-tail,5,8,0,1621,5,2010-07-09,2014-12-16,0.875,4,2369,1,,,SHUJA NAWAZ,2,SOUTH ASIA CENTER ATLANTIC COUNCIL / ATLANTIC COUNCIL,no,"clean: no staff evidence, full name, no duplicate inflation",NPR-31330|2010-07-09|Morning Edition|cl6|S;CNN-153361|2010-07-19|CONNECT THE WORLD|cl1|-;NPR-13787|2010-08-14|Weekend Edition Saturday|cl3|S;NPR-32808|2011-07-10|All Things Considered|cl8|-;NPR-31341|2012-07-03|All Things Considered|cl7|-;NPR-28436|2013-08-20|All Things Considered|cl5|S;NPR-12117|2014-05-31|Weekend Edition Saturday|cl2|S;NPR-25591|2014-12-16|All Things Considered|cl4|S
C01752,Michelle Faul,long-tail,5,5,0,1404,5,2014-01-15,2017-11-19,1.0,2,2454,1,,,MICHELLE FAUL,0,,no,"clean: no staff evidence, full name, no duplicate inflation",NPR-28024|2014-01-15|All Things Considered|cl5|S;NPR-27499|2014-04-22|All Things Considered|cl4|S;NPR-24168|2014-05-07|Morning Edition|cl2|S;NPR-24493|2015-05-04|All Things Considered|cl3|S;NPR-14833|2017-11-19|All Things Considered|cl1|S
C00515,Corey Ealons,long-tail,5,5,0,1232,5,2015-10-17,2019-03-02,1.0,1,2142,1,,,COREY EALONS,0,,no,"clean: no staff evidence, full name, no duplicate inflation",NPR-23844|2015-10-17|All Things Considered|cl4|S;NPR-21704|2016-06-16|All Things Considered|cl3|S;NPR-18685|2017-04-30|All Things Considered|cl2|S;NPR-48459|2018-03-10|All Things Considered|cl5|S;NPR-13244|2019-03-02|All Things Considered|cl1|S
C00522,Courtney Nguyen,long-tail,5,5,0,1181,5,2015-06-08,2018-09-01,1.0,2,2837,1,,,COURTNEY NGUYEN,0,,no,"clean: no staff evidence, full name, no duplicate inflation",NPR-21790|2015-06-08|Morning Edition|cl3|S;NPR-19344|2016-06-06|Morning Edition|cl2|S;NPR-19193|2016-07-06|Morning Edition|cl1|S;NPR-5584|2017-01-28|All Things Considered|cl5|S;NPR-4597|2018-09-01|All Things Considered|cl4|S
C01012,Jamila Trindle,long-tail,5,5,0,288,5,2008-05-19,2009-03-03,1.0,1,1858,1,,,JAMILA TRINDLE,0,,no,"clean: no staff evidence, full name, no duplicate inflation",NPR-341|2008-05-19|Day to Day|cl4|S;NPR-15|2008-06-05|Day to Day|cl3|S;NPR-11177|2008-07-25|Day to Day|cl2|S;NPR-10988|2008-08-12|Day to Day|cl1|S;NPR-6818|2009-03-03|Day to Day|cl5|S
C00563,Danica Coto,long-tail,5,6,0,237,5,2017-05-07,2017-12-30,1.0,2,2414,1,,,DANICA COTO,0,,no,"clean: no staff evidence, full name, no duplicate inflation",NPR-18530|2017-05-07|All Things Considered|cl3|S;NPR-49390|2017-09-06|Morning Edition|cl6|S;NPR-49381|2017-09-07|Morning Edition|cl4|-;NPR-49382|2017-09-07|Morning Edition|cl5|S;NPR-15555|2017-09-19|All Things Considered|cl2|S;NPR-13943|2017-12-30|All Things Considered|cl1|S
C00457,Charles Fishman,long-tail,4,9,0,2423,4,2006-04-05,2012-11-22,0.6667,6,3052,1,,,"Mr. CHARLES FISHMAN (Author, The Wal-Mart Effect)",5,AUTHOR THE WAL MART EFFECT / WRITER / AUTHOR MAGAZINE EDITOR / SENIOR WRITER FAST COMPANY,no,"clean: no staff evidence, full name, no duplicate inflation",CNN-101864|2006-01-19|AMERICAN MORNING|cl1|-;CNN-102463|2006-02-04|CNN IN THE MONEY|cl2|-;NPR-42563|2006-04-05|All Things Considered|cl8|S;NPR-18005|2006-07-10|Talk of the Nation|cl4|S;NPR-32357|2009-11-13|Morning Edition|cl7|-;NPR-6333|2010-12-01|All Things Considered|cl9|S;NPR-26989|2012-11-22|Morning Edition|cl5|S;NPR-30078|2013-01-15|All Things Considered|cl6|-;CNN-375308|2019-07-19|CNN'S AMANPOUR|cl3|-
C02121,Sam Dagher,long-tail,4,6,0,1935,4,2014-02-10,2019-05-30,0.6667,4,2188,1,,,SAM DAGHER,2,WALL STREET JOURNAL / AUTHOR ASSAD OR WE BURN THE COUNTRY,no,"clean: no staff evidence, full name, no duplicate inflation",CNN-224630|2014-02-09|NEW DAY SUNDAY|cl1|-;NPR-27850|2014-02-10|All Things Considered|cl6|S;NPR-27442|2014-04-27|All Things Considered|cl5|S;NPR-27149|2014-06-03|All Things Considered|cl4|S;NPR-10330|2019-05-30|Morning Edition|cl3|S;CNN-392004|2020-02-06|HALA GORANI TONIGHT|cl2|-
C01891,Peter Sokolowski,long-tail,4,5,0,1747,4,2013-03-14,2017-12-25,1.0,4,3740,1,,,PETER SOKOLOWSKI,0,,no,"clean: no staff evidence, full name, no duplicate inflation",NPR-9277|2013-03-14|Talk of the Nation|cl5|S;NPR-29149|2013-05-26|All Things Considered|cl1|S;NPR-42|2016-10-23|Weekend Edition Sunday|cl2|S;NPR-49392|2017-09-11|Morning Edition|cl4|-;NPR-47564|2017-12-25|Morning Edition|cl3|S
C00886,Hilda Hutcherson,long-tail,4,4,0,1480,4,2006-02-21,2010-03-12,1.0,2,1901,1,,,"Dr. HILDA HUTCHERSON (Medical Contributor, NEWS AND NOTES)",4,GYNECOLOGIST / MEDICAL CONTRIBUTOR NEWS AND NOTES / CLINICAL PROFESSOR OBSTETRICS AND GYNECOLOGY COLUMBIA UNIVERSITY / GYNECOLOGIST AUTHOR PLEASURE A WOMEN S GUIDE TO GETTING THE SEX YOU WANT NEED AND DESERVE,no,"clean: no staff evidence, full name, no duplicate inflation",NPR-45642|2006-02-21|News & Notes|cl3|S;NPR-45582|2006-02-27|News & Notes|cl2|S;NPR-5145|2006-05-29|News & Notes|cl4|S;NPR-35872|2010-03-12|All Things Considered|cl1|S
C01746,Michele Dunne,long-tail,4,12,0,1251,4,2011-02-16,2014-07-21,0.6667,3,2185,1,,,MICHELE DUNNE,3,FORMER SENIOR OFFICIAL U S STATE DEPARTMENT / ATLANTIC COUNCIL / DIRECTOR CARNEGIE ENDOWMENTS MIDDLE EAST PROGRAM,no,"clean: no staff evidence, full name, no duplicate inflation",NPR-33798|2011-02-15|All Things Considered|cl11|-;NPR-33768|2011-02-16|All Things Considered|cl10|S;NPR-33096|2011-05-31|All Things Considered|cl9|S;NPR-31264|2012-07-10|All Things Considered|cl8|S;CNN-203494|2013-03-21|THE LEAD WITH JAKE TAPPER|cl1|-;CNN-212970|2013-08-20|CNN'S AMANPOUR|cl2|-;CNN-213225|2013-08-23|CNN'S AMANPOUR|cl3|-;NPR-26727|2014-07-21|All Things Considered|cl7|S;NPR-16183|2017-08-23|All Things Considered|cl6|-;NPR-44538|2018-08-08|All Things Considered|cl12|-;NPR-11066|2019-04-09|All Things Considered|cl5|-;CNN-366814|2019-04-10|CNN'S AMANPOUR|cl4|-
C01397,Katia Dunn,long-tail,4,7,0,980,4,2006-11-07,2009-07-14,1.0,3,2208,1,,,KATIA DUNN,0,,no,"clean: no staff evidence, full name, no duplicate inflation",NPR-37549|2006-11-07|Morning Edition|cl4|S;NPR-40025|2008-05-20|All Things Considered|cl6|-;NPR-39289|2008-08-05|All Things Considered|cl5|-;NPR-9771|2008-12-16|Day to Day|cl7|S;NPR-33224|2009-03-20|Morning Edition|cl2|S;NPR-37100|2009-04-20|All Things Considered|cl3|-;NPR-32530|2009-07-14|Morning Edition|cl1|S
C01801,Mujib Mashal,long-tail,4,5,0,867,4,2014-01-10,2016-05-26,1.0,1,2673,1,,,MUJIB MASHAL,0,,no,"clean: no staff evidence, full name, no duplicate inflation",NPR-24482|2014-01-10|Morning Edition|cl5|S;NPR-23946|2014-07-01|Morning Edition|cl4|S;NPR-22121|2015-04-21|Morning Edition|cl3|-;NPR-21043|2015-09-29|Morning Edition|cl2|S;NPR-19391|2016-05-26|Morning Edition|cl1|S
C01904,Puneet Ahluwalia,long-tail,4,5,0,784,4,2016-01-16,2018-03-10,1.0,1,1888,1,,,PUNEET AHLUWALIA,0,,no,"clean: no staff evidence, full name, no duplicate inflation",NPR-23058|2016-01-16|All Things Considered|cl4|S;NPR-22795|2016-02-20|All Things Considered|cl3|-;NPR-20048|2016-12-03|All Things Considered|cl2|S;NPR-19571|2017-01-14|All Things Considered|cl1|S;NPR-48459|2018-03-10|All Things Considered|cl5|S
C02248,Stefan Kornelius,long-tail,4,6,1,778,4,2016-03-10,2018-04-27,0.6667,3,1537,1,,,STEFAN KORNELIUS,1,AUTHOR ANGELA MERKEL THE CHANCELLOR AND HER WORLD,no,1 re-airings collapsed,NPR-22591|2016-03-10|All Things Considered|cl4|S;NPR-21372|2016-07-22|All Things Considered|cl3|S;NPR-19855|2016-12-20|All Things Considered|cl2|S;NPR-45561|2018-04-27|Morning Edition|cl5|S;CNN-353737|2018-11-02|CNN'S AMANPOUR|cl1|-;CNN-358273|2018-12-31|CNN'S AMANPOUR|cl1|-
C01149,Jessica Vaughan,long-tail,4,12,0,763,4,2016-05-01,2018-06-03,0.75,5,1920,1,,,JESSICA VAUGHAN,1,CENTER FOR IMMIGRATION STUDIES,no,"clean: no staff evidence, full name, no duplicate inflation",CNN-105155|2006-04-20|LOU DOBBS TONIGHT|cl1|-;CNN-117127|2007-05-25|LOU DOBBS TONIGHT|cl2|-;CNN-129157|2008-07-29|LOU DOBBS TONIGHT|cl3|-;NPR-22141|2016-05-01|All Things Considered|cl8|S;NPR-17892|2016-11-15|Morning Edition|cl7|-;NPR-17516|2016-12-13|Morning Edition|cl6|-;NPR-11509|2017-03-04|Weekend Edition Saturday|cl4|S;NPR-16758|2017-08-04|All Things Considered|cl5|-;NPR-46917|2018-01-23|Morning Edition|cl9|-;NPR-49011|2018-02-17|All Things Considered|cl10|S;NPR-6995|2018-04-01|Weekend Edition Sunday|cl11|-;NPR-8105|2018-06-03|Weekend Edition Sunday|cl12|S
C00192,Anita Elash,long-tail,4,7,0,580,4,2006-09-23,2008-04-25,1.0,3,2038,1,,,ANITA ELASH,0,,no,"clean: no staff evidence, full name, no duplicate inflation",NPR-18899|2006-09-23|Weekend Edition Saturday|cl1|S;NPR-37354|2006-12-05|Morning Edition|cl6|S;NPR-37032|2007-01-24|Morning Edition|cl5|S;NPR-35217|2008-04-25|Morning Edition|cl4|S;NPR-34801|2008-07-02|Morning Edition|cl3|-;NPR-34694|2008-07-18|Morning Edition|cl2|-;NPR-37517|2009-02-22|All Things Considered|cl7|-
C02122,Sam Eaton,long-tail,4,6,0,563,4,2007-04-23,2008-11-06,1.0,1,2237,1,,,SAM EATON,0,,no,"clean: no staff evidence, full name, no duplicate inflation",NPR-44404|2007-04-23|Day to Day|cl5|S;NPR-44397|2007-04-24|Day to Day|cl4|S;NPR-2939|2007-08-31|Day to Day|cl3|S;NPR-945|2008-04-11|Day to Day|cl6|-;NPR-10187|2008-11-06|Day to Day|cl2|S;NPR-10143|2008-11-07|Day to Day|cl1|-
C02280,Steven Ivory,long-tail,4,5,0,429,4,2005-12-26,2007-02-28,1.0,2,2303,1,,,"Mr. STEVEN IVORY (Author, ""Fool in Love"")",5,AUTHOR FOOL IN LOVE / ESSAYIST / MUSIC JOURNALIST / MUSIC WRITER,no,"clean: no staff evidence, full name, no duplicate inflation",NPR-46218|2005-12-26|News & Notes|cl4|S;NPR-14632|2006-02-08|Day to Day|cl1|-;NPR-45184|2006-03-24|News & Notes|cl3|S;NPR-4830|2006-06-30|News & Notes|cl5|S;NPR-2194|2007-02-28|News & Notes|cl2|S
C01171,Jim Hobart,long-tail,4,6,0,341,4,2016-04-20,2017-03-27,0.8333,2,1928,1,,,JIM HOBART,1,PUBLIC OPINION STRATEGIES VICE PRESIDENT,no,"clean: no staff evidence, full name, no duplicate inflation",NPR-19629|2016-04-20|Morning Edition|cl5|S;NPR-19555|2016-04-27|Morning Edition|cl4|S;NPR-5664|2016-05-04|Morning Edition|cl6|S;NPR-18263|2016-10-20|Morning Edition|cl3|-;CNN-297338|2016-11-01|CNN NEWSROOM|cl1|-;NPR-15497|2017-03-27|Morning Edition|cl2|S
