normalized_name,clean,staff_evidence,marker,initial_label,label_artifact,n_transcripts,subst_appearances,total_guest_words,first_date,last_date,span_days,n_dates,n_programs,npr_share,wiki_status,generic_name_flag,honorifics,example_transcript_ids
Von Der Leyen,True,no,,False,False,13,6,7442,2014-06-22,2020-07-21,2221.0,13,6,0.0,unchecked,0,,CNN-233092;CNN-264704;CNN-264844;CNN-322043;CNN-344818
Jimi Izrael,True,no,,False,False,15,10,7416,2005-06-13,2016-07-17,4052.0,15,4,1.0,unchecked,0,MR,NPR-2280;NPR-2465;NPR-3438;NPR-3806;NPR-4223
Danielle Pletka,True,no,,False,False,59,5,7382,2002-10-29,2019-08-18,6137.0,26,27,0.2033898305084746,unchecked,0,MS,NPR-2288;NPR-3459;NPR-7804;NPR-10814;NPR-16855
Doris Meissner,True,no,,False,False,61,6,7244,2000-10-17,2020-07-07,7203.0,15,29,0.13114754098360656,unchecked,0,MS,NPR-1689;NPR-4041;NPR-9658;NPR-43281;NPR-44629
David Remnick,True,no,,False,False,36,6,7239,2005-10-10,2019-12-22,5186.0,30,17,0.19444444444444445,unchecked,0,MR,NPR-9342;NPR-17632;NPR-22749;NPR-26572;NPR-27965
Gregory Johnsen,True,no,,False,False,20,8,7154,2009-01-28,2015-03-30,2252.0,11,9,0.45,unchecked,0,MR,NPR-2417;NPR-3793;NPR-26278;NPR-28570;NPR-30698
Bill Fletcher,True,no,,False,False,11,8,7131,2005-09-06,2008-01-15,861.0,8,4,0.7272727272727273,unchecked,0,MAJ;MAJOR;MR,NPR-88;NPR-361;NPR-863;NPR-2733;NPR-6785
Eric Shinseki,True,no,,False,False,86,3,7109,2008-12-07,2014-05-30,2000.0,15,29,0.10465116279069768,unchecked,0,GEN;GENERAL;SECRETARY,NPR-27196;NPR-27288;NPR-27295;NPR-27355;NPR-28530
Edward Djerejian,True,no,,False,False,55,4,6995,2000-10-12,2018-04-11,6390.0,29,30,0.10909090909090909,unchecked,0,AMB;AMBASSADOR;MR,NPR-2375;NPR-4492;NPR-29522;NPR-37780;NPR-37911
James Gordon,True,no,,False,False,6,4,6976,2009-10-22,2015-07-18,2095.0,5,3,0.6666666666666666,unchecked,0,CPL;DR,NPR-6977;NPR-9218;NPR-45542;NPR-46450;CNN-195345
Peter Neumann,True,no,,False,False,72,4,6935,2014-06-19,2020-02-20,2072.0,65,21,0.06944444444444445,unchecked,0,PROF;PROFESSOR,NPR-14991;NPR-20504;NPR-22681;NPR-23325;NPR-25048
Robert Kuttner,True,no,,False,False,23,3,6933,2007-11-16,2017-08-19,3564.0,16,14,0.13043478260869565,unchecked,0,MR,NPR-3172;NPR-3344;NPR-10003;CNN-121431;CNN-123172
Joshua Landis,True,no,,False,False,18,5,6913,2005-10-13,2016-09-25,4000.0,13,10,0.3888888888888889,unchecked,0,PROFESSOR,NPR-2251;NPR-8895;NPR-9780;NPR-10912;NPR-20195
La Lanne,True,no,,False,False,4,3,6886,,,,0,3,0.0,unchecked,0,,CNN-12078;CNN-36654;CNN-118121;CNN-118149
Peter Robinson,True,no,,False,False,17,5,6862,2005-09-15,2016-11-22,4086.0,11,11,0.5882352941176471,unchecked,1,MR,NPR-2954;NPR-6620;NPR-8353;NPR-9504;NPR-9782
Steven Cook,True,no,,False,False,31,6,6808,2005-10-26,2019-10-17,5104.0,16,16,0.2903225806451613,unchecked,1,DR;MR,NPR-8473;NPR-9664;NPR-10910;NPR-15240;NPR-20314
Mike Rounds,True,no,,False,False,92,5,6670,2005-05-14,2020-06-14,5510.0,87,15,0.07608695652173914,unchecked,0,GOV;GOVERNOR;REP;SEN;SENATOR,NPR-1012;NPR-3619;NPR-4607;NPR-4748;NPR-36359
Brian Unger,True,no,,False,False,19,15,6656,2005-05-24,2009-03-16,1392.0,19,1,1.0,unchecked,0,,NPR-22;NPR-89;NPR-1155;NPR-1752;NPR-2114
Abdullah Ii,True,no,,False,False,64,3,6575,2005-11-11,2019-11-10,5112.0,29,27,0.03125,unchecked,0,KING,NPR-3087;NPR-29580;CNN-6682;CNN-43374;CNN-52376
Michele Flournoy,True,no,,False,False,21,6,6558,2010-06-16,2020-01-07,3492.0,15,12,0.42857142857142855,unchecked,0,,NPR-2974;NPR-6177;NPR-7107;NPR-9511;NPR-10781
David Makovsky,True,no,,False,False,43,4,6556,2000-10-16,2019-09-05,6898.0,16,27,0.18604651162790697,unchecked,0,MR,NPR-8945;NPR-10004;NPR-16172;NPR-25243;NPR-38688
Mario Livio,True,no,,False,False,5,3,6429,2006-10-31,2017-02-17,3762.0,5,3,0.8,unchecked,0,DR,NPR-8667;NPR-16215;NPR-45049;NPR-48046;CNN-111624
Megan Mcardle,True,no,,False,False,10,8,6422,2011-06-07,2019-02-02,2797.0,8,5,0.8,unchecked,0,,NPR-808;NPR-1824;NPR-4334;NPR-10133;NPR-11559
Tom Malinowski,True,no,,False,False,56,5,6398,2001-10-29,2019-12-15,6621.0,42,26,0.08928571428571429,unchecked,0,MR;REP,NPR-2590;NPR-3112;NPR-7786;NPR-9828;NPR-39991
Juror B37,True,no,,False,False,22,6,6362,,,,0,9,0.0,unchecked,0,,CNN-210551;CNN-210556;CNN-210557;CNN-210560;CNN-210563
Deborah Blum,True,no,,False,False,11,4,6348,2010-04-02,2019-03-07,3261.0,9,6,0.45454545454545453,unchecked,0,MS;PROFESSOR,NPR-1915;NPR-8481;NPR-12724;NPR-30213;NPR-45258
Jan Schakowsky,True,no,,False,False,76,3,6347,2008-02-03,2020-02-27,4407.0,41,32,0.11842105263157894,unchecked,0,CONGRESSWOMAN;REP;REPRESENTATIVE;SEN,NPR-5288;NPR-13138;NPR-24983;NPR-26530;NPR-33430
Connie Schultz,True,no,,False,False,8,4,6337,2008-02-25,2020-08-19,4559.0,8,4,0.5,unchecked,0,MS,NPR-1914;NPR-9302;NPR-9999;NPR-40741;CNN-145138
Bobby Schindler,True,no,,False,False,43,5,6324,2003-10-22,2006-10-28,1102.0,2,20,0.0,unchecked,0,,CNN-29608;CNN-78377;CNN-93026;CNN-93037;CNN-93057
Richard Stengel,True,no,,False,False,39,4,6299,2006-12-17,2019-12-23,4754.0,18,22,0.10256410256410256,unchecked,0,MR,NPR-17584;NPR-17954;NPR-44702;NPR-45107;CNN-9285
Jane Sanders,True,no,,False,False,44,5,6298,2015-10-13,2020-02-25,1596.0,44,13,0.0,unchecked,0,,CNN-266576;CNN-266584;CNN-266590;CNN-266694;CNN-268736
Bob Inglis,True,no,,False,False,16,7,6256,2010-07-14,2019-06-04,3247.0,14,12,0.4375,unchecked,0,REP;REPRESENTATIVE,NPR-354;NPR-3400;NPR-4954;NPR-11797;NPR-15482
Bill Spriggs,True,no,,False,False,7,6,6233,2005-08-26,2008-02-14,902.0,7,1,1.0,unchecked,0,DR;MR;PROFESSOR,NPR-363;NPR-1409;NPR-3551;NPR-11154;NPR-12738
Jan Egeland,True,no,,False,False,95,5,6226,2004-10-23,2020-02-19,5597.0,51,30,0.1368421052631579,unchecked,0,MR,NPR-1678;NPR-3360;NPR-6548;NPR-10203;NPR-17403
Ben Zimmer,True,no,,False,False,13,7,6174,2010-12-30,2017-01-20,2213.0,13,6,0.8461538461538461,unchecked,0,MR,NPR-1399;NPR-3107;NPR-10776;NPR-19609;NPR-22638
Juror B-37,True,no,,False,False,22,5,6107,2013-10-13,2013-10-13,0.0,1,9,0.0,unchecked,0,,CNN-210423;CNN-210556;CNN-210565;CNN-210569;CNN-210576
Connie Mack,True,no,,False,False,68,6,6105,2006-02-11,2015-08-25,3482.0,10,24,0.029411764705882353,unchecked,0,REP;REPRESENTATIVE;SEN;SENATOR,NPR-5329;NPR-42872;CNN-659;CNN-1292;CNN-1341
St. John,True,no,,False,False,27,8,6098,2000-11-11,2008-11-20,2931.0,7,13,0.0,unchecked,0,,CNN-1159;CNN-6944;CNN-10708;CNN-13324;CNN-19755
Tom Rosenstiel,True,no,,False,False,11,4,6092,2003-10-14,2011-03-14,2708.0,6,7,0.36363636363636365,unchecked,0,MR,NPR-2573;NPR-14011;NPR-14448;NPR-45363;CNN-11987
Rochelle Riley,True,no,,False,False,13,10,6088,2005-05-03,2017-07-22,4463.0,12,4,0.9230769230769231,unchecked,0,MS,NPR-3155;NPR-3297;NPR-4931;NPR-5267;NPR-9106
Ruth Marcus,True,no,,False,False,24,6,6075,2006-10-06,2020-09-26,5104.0,16,9,0.2916666666666667,unchecked,0,MS,NPR-10400;NPR-37561;NPR-39190;NPR-40494;NPR-41383
Walter Mosley,True,no,,False,False,10,7,6059,2005-09-21,2018-02-17,4532.0,8,7,0.8,unchecked,0,MR,NPR-474;NPR-5148;NPR-5979;NPR-8219;NPR-8755
Jared Bernstein,True,no,,False,False,68,5,6044,2003-11-13,2019-11-04,5835.0,23,19,0.20588235294117646,unchecked,0,DR;MR,NPR-2708;NPR-7713;NPR-13401;NPR-17576;NPR-17901
Sue Mi Terry,True,no,,False,False,57,4,5835,2014-12-17,2019-06-30,1656.0,52,19,0.07017543859649122,unchecked,0,DR;PROF;PROFESSOR,NPR-7842;NPR-12880;NPR-17629;NPR-49272;CNN-204350
Otis Brawley,True,no,,False,False,43,4,5817,2002-10-31,2016-01-17,4826.0,15,16,0.09302325581395349,unchecked,0,DR,NPR-1981;NPR-3981;NPR-4372;NPR-32386;CNN-62417
Michael Rubin,True,no,,False,False,43,5,5807,2005-10-13,2020-06-28,5372.0,26,18,0.11627906976744186,unchecked,0,MR,NPR-7646;NPR-14915;NPR-18727;NPR-45294;NPR-47819
Andy Stern,True,no,,False,False,10,3,5789,2003-11-11,2012-04-18,3081.0,6,6,0.5,unchecked,0,MR,NPR-7222;NPR-12483;NPR-40804;NPR-45357;NPR-48600
Alex Vogel,True,no,,False,False,8,5,5777,2010-09-01,2011-11-09,434.0,6,3,0.75,unchecked,0,MR,NPR-840;NPR-1341;NPR-3188;NPR-3679;NPR-3828
Jon Meacham,True,no,,False,False,66,3,5777,2006-11-23,2020-09-17,5047.0,57,22,0.06060606060606061,unchecked,0,MR,NPR-4742;NPR-23695;NPR-37408;NPR-46521;CNN-23659
David Schwartz,True,no,,False,False,98,3,5750,2005-12-26,2019-04-27,4870.0,66,28,0.061224489795918366,unchecked,0,DR;MR;PROF;PROFESSOR;RABBI,NPR-3644;NPR-13173;NPR-21512;NPR-26448;NPR-31108
Walter Dellinger,True,no,,False,False,25,4,5737,2005-07-22,2019-05-16,5046.0,12,18,0.28,unchecked,0,MR,NPR-4627;NPR-18637;NPR-26108;NPR-29410;NPR-31400
Anthony Cordesman,True,no,,False,False,68,4,5685,2005-07-29,2018-10-20,4831.0,38,24,0.35294117647058826,unchecked,0,DR;MR;PROFESSOR,NPR-3064;NPR-4269;NPR-17547;NPR-18916;NPR-25285
Nariman Behravesh,True,no,,False,False,49,5,5679,2006-01-27,2018-06-28,4535.0,35,9,0.6938775510204082,unchecked,0,DR;MR,NPR-13346;NPR-14319;NPR-14496;NPR-15750;NPR-16145
De La Hoya,True,no,,False,False,8,3,5659,2000-12-16,2016-08-12,5718.0,3,6,0.0,unchecked,0,,CNN-21848;CNN-73475;CNN-164398;CNN-181441;CNN-183594
Matthew Rojansky,True,no,,False,False,48,3,5636,2011-12-12,2019-10-22,2871.0,42,10,0.0625,unchecked,0,,NPR-10487;NPR-17079;NPR-27755;CNN-177537;CNN-183422
Lester Brown,True,no,,False,False,13,4,5629,2011-06-07,2013-04-22,685.0,4,10,0.3076923076923077,unchecked,0,MR,NPR-1529;NPR-7245;NPR-8898;NPR-9869;CNN-847
Van Nieuwenhuijzen,True,no,,False,False,19,5,5626,2011-12-30,2018-04-09,2292.0,6,2,0.0,unchecked,0,,CNN-162838;CNN-164422;CNN-169673;CNN-172501;CNN-175267
Husain Haqqani,True,no,,False,False,56,4,5601,2003-12-25,2019-07-29,5695.0,20,18,0.07142857142857142,unchecked,0,AMB;AMBASSADOR,NPR-4603;NPR-13936;NPR-32796;NPR-35034;CNN-80574
Emily Yoffe,True,no,,False,False,14,8,5573,2005-05-02,2019-04-06,5087.0,13,6,0.6428571428571429,unchecked,0,MS,NPR-1643;NPR-2437;NPR-4932;NPR-14182;NPR-14853
Abderrahim Foukara,True,no,,False,False,13,9,5569,2003-10-10,2019-04-13,5664.0,11,6,0.7692307692307693,unchecked,0,MR,NPR-3957;NPR-4178;NPR-6070;NPR-7535;NPR-10959
Nikky Finney,True,no,,False,False,4,4,5564,2012-02-02,2017-06-27,1972.0,4,2,1.0,unchecked,0,,NPR-150;NPR-8282;NPR-9756;NPR-14696
James Martin,True,no,,False,False,51,3,5504,2005-10-27,2020-10-22,5474.0,28,25,0.11764705882352941,unchecked,1,DR;FATHER;FR;REV;REVEREND,NPR-11429;NPR-15156;NPR-29879;NPR-30644;NPR-39993
Kevin Trenberth,True,no,,False,False,5,4,5498,2005-12-28,2012-04-05,2290.0,5,2,0.8,unchecked,0,DR,NPR-3667;NPR-12535;NPR-16850;NPR-45132;CNN-101147
Eboo Patel,True,no,,False,False,13,3,5475,2009-02-11,2010-09-11,577.0,3,7,0.23076923076923078,unchecked,0,DR;MR,NPR-13537;NPR-46204;NPR-48186;CNN-135049;CNN-136705
Kenneth Rogoff,True,no,,False,False,34,6,5474,2007-04-23,2020-05-07,4763.0,21,9,0.23529411764705882,unchecked,0,DR;PROFESSOR,NPR-30909;NPR-34421;NPR-36323;NPR-37199;NPR-38230
John Yoo,True,no,,False,False,42,3,5467,2000-11-29,2020-07-25,7178.0,30,23,0.11904761904761904,unchecked,0,MR;PROFESSOR,NPR-5865;NPR-19516;NPR-37787;NPR-38331;NPR-43231
Dan Schnur,True,no,,False,False,46,5,5430,2005-05-06,2017-07-06,4444.0,17,19,0.32608695652173914,unchecked,0,MR;PROF,NPR-6923;NPR-7137;NPR-10452;NPR-10643;NPR-14325
Jill Lepore,True,no,,False,False,9,6,5411,2009-05-31,2018-12-27,3497.0,9,4,0.6666666666666666,unchecked,0,MS;PROFESSOR,NPR-3196;NPR-6936;NPR-18058;NPR-30826;NPR-36863
Simon Schama,True,no,,False,False,23,3,5377,2009-11-30,2019-08-19,3549.0,13,8,0.17391304347826086,unchecked,0,MR,NPR-2897;NPR-8998;NPR-11512;NPR-21663;CNN-145599
Ivo Daalder,True,no,,False,False,48,5,5374,2002-12-17,2020-10-23,6520.0,29,25,0.2708333333333333,unchecked,0,DR;MR,NPR-4105;NPR-8545;NPR-11733;NPR-11956;NPR-18812
Martin Frost,True,no,,False,False,44,3,5368,2000-10-27,2017-01-03,5912.0,12,24,0.09090909090909091,unchecked,0,MR;REP;REPRESENTATIVE,NPR-13969;NPR-14905;NPR-25385;NPR-28574;CNN-4578
Julian Bond,True,no,,False,False,34,3,5345,2002-12-15,2015-08-17,4628.0,15,20,0.2647058823529412,unchecked,0,MR,NPR-4650;NPR-16403;NPR-16522;NPR-21301;NPR-26648
Peter Hoekstra,True,no,,False,False,66,3,5334,2004-10-22,2017-12-24,4811.0,30,24,0.13636363636363635,unchecked,0,AMB;REP;REPRESENTATIVE,NPR-6940;NPR-25617;NPR-36464;NPR-37009;NPR-38541
Gayle Trotter,True,no,,False,False,16,11,5298,2016-05-14,2019-03-08,1028.0,11,4,0.6875,unchecked,0,,NPR-1960;NPR-13180;NPR-15792;NPR-18955;NPR-19967
Le Sommier,True,no,,False,False,14,5,5298,2015-11-18,2019-04-16,1245.0,13,9,0.0,unchecked,0,,CNN-105455;CNN-269391;CNN-269470;CNN-269643;CNN-269908
Mark Krikorian,True,no,,False,False,50,6,5293,2001-11-10,2019-06-09,6420.0,27,18,0.26,unchecked,0,MR,NPR-397;NPR-7859;NPR-10761;NPR-11865;NPR-13416
Greg Smith,True,no,,False,False,37,4,5290,2000-11-22,2020-04-24,7093.0,10,15,0.13513513513513514,unchecked,0,CAPT;CAPTAIN;DR;MR,NPR-7004;NPR-22778;NPR-24879;NPR-26399;NPR-45568
